path,gender,number,намбэр
train/e332b996d3.wav,female,157105,сто пятьдесят семь тысяч сто пять
train/e25afda49a.wav,female,374554,триста семьдесят четыре тысячи пятьсот пятьдесят четыре
train/364f147340.wav,male,688694,шестьсот восемьдесят восемь тысяч шестьсот девяносто четыре
train/5e0954b206.wav,female,265381,двести шестьдесят пять тысяч триста восемьдесят один
train/7130a67690.wav,male,955415,девятьсот пятьдесят пять тысяч четыреста пятнадцать
train/5e39a8735b.wav,female,4280,четыре тысячи двести восемьдесят
train/14b99654c7.wav,female,514674,пятьсот четырнадцать тысяч шестьсот семьдесят четыре
train/d004a14da0.wav,female,800352,восемьсот тысяч триста пятьдесят два
train/d0b0aa52e0.wav,female,94727,девяносто четыре тысячи семьсот двадцать семь
train/48a917e81b.wav,female,753889,семьсот пятьдесят три тысячи восемьсот восемьдесят девять
train/4a4ba7e7e5.wav,female,334658,триста тридцать четыре тысячи шестьсот пятьдесят восемь
train/4f5035b164.wav,female,676584,шестьсот семьдесят шесть тысяч пятьсот восемьдесят четыре
train/a32cb2ec9a.wav,male,796710,семьсот девяносто шесть тысяч семьсот десять
train/101850de62.wav,female,385008,триста восемьдесят пять тысяч восемь
train/708d190208.wav,female,568106,пятьсот шестьдесят восемь тысяч сто шесть
train/b90381298e.wav,female,25532,двадцать пять тысяч пятьсот тридцать два
train/769ca2032a.wav,male,840001,восемьсот сорок тысяч один
train/c6e4692c5d.wav,female,726752,семьсот двадцать шесть тысяч семьсот пятьдесят два
train/b4c275ce77.wav,female,939105,девятьсот тридцать девять тысяч сто пять
train/305ec3f988.wav,female,608171,шеteстьсот восемь тысяч сто семьдесят один
train/271e365f07.wav,female,58761,пятьдесят восемь тысяч семьсот шестьдесят один
train/0f3e842d88.wav,female,139219,сто тридцать девять тысяч двести девятнадцать
train/53c971539e.wav,male,711187,семьсот одиннадцать тысяч сто восемьдесят семь
train/936c29987c.wav,female,130290,сто тридцать тысяч двести девяносто
train/a87eaa035c.wav,female,91739,девяносто одна тысяча семьсот тридцать девять
train/31a05edd02.wav,male,853663,восемьсот пятьдесят три тысячи шестьсот шестьдесят три
train/0a24e08239.wav,female,436355,четыреста тридцать шесть тысяч триста пятьдесят пять
train/bb2adc8b1f.wav,female,816093,восемьсот шестнадцать тысяч девяносто три
train/63ab911d69.wav,male,580080,пятьсот восемьдесят тысяч восемьдесят
train/f64943aaa2.wav,male,916799,девятьсот шестнадцать тысяч семьсот девяносто девять
train/e9e2dc55eb.wav,male,73054,семьдесят три тысячи пятьдесят четыре
train/66257e184c.wav,female,760763,семьсот шестьдесят тысяч семьсот шестьдесят три
train/e1a47fd291.wav,male,229156,двести двадцать девять тысяч сто пятьдесят шесть
train/bd0d965ae7.wav,female,40273,сорок тысяч двести семьдесят три
train/83cb545c78.wav,female,257329,двести пятьдесят семь тысяч триста двадцать девять
train/8d8cbef240.wav,female,574992,пятьсот семьдесят четыре тысячи девятьсот девяносто два
train/f0ca8fc731.wav,female,456626,четыреста пятьдесят шесть тысяч шестьсот двадцать шесть
train/b32b2fa48e.wav,male,785044,семьсот восемьдесят пять тысяч сорок четыре
train/0524875ba7.wav,male,857724,восемьсот пятьдесят семь тысяч семьсот двадцать четыре
train/ccbe32e08d.wav,male,397141,триста девяносто семь тысяч сто сорок один
train/51df82c541.wav,male,82523,восемьдесят две тысячи пятьсот двадцать три
train/af53de7964.wav,male,613903,шестьсот тринадцать тысяч девятьсот три
train/cb211eb75d.wav,female,872960,восемьсот семьдесят две тысячи девятьсот шестьдесят
train/8a81f0d11c.wav,male,36376,тридцать шесть тысяч триста семьдесят шесть
train/ab4e3d8e69.wav,female,705446,семьсот пять тысяч четыреста сорок шесть
train/c0d1e092f7.wav,female,1981,одна тысяча девятьсот восемьдесят один
train/38cfe9b4d0.wav,female,350336,триста пятьдесят тысяч триста тридцать шесть
train/d792339ec0.wav,female,581410,пятьсот восемьдесят одна тысяча четыреста десять
train/2ef92edf6c.wav,male,316363,триста шестнадцать тысяч триста шестьдесят три
train/e668987eeb.wav,male,813637,восемьсот тринадцать тысяч шестьсот тридцать семь
train/a5512b804f.wav,female,882238,восемьсот восемьдесят две тысячи двести тридцать восемь
train/2c7875e414.wav,female,891522,восемьсот девяносто одна тысяча пятьсот двадцать два
train/18f2b7f63b.wav,female,642477,шестьсот сорок две тысячи четыреста семьдесят семь
train/8530ed36c3.wav,female,723240,семьсот двадцать три тысячи двести сорок
train/551931d28e.wav,female,395558,триста девяносто пять тысяч пятьсот пятьдесят восемь
train/04af0ceddd.wav,female,277864,двести семьдесят семь тысяч восемьсот шестьдесят четыре
train/ba077f4378.wav,female,55268,пятьдесят пять тысяч двести шестьдесят восемь
train/7fbc101a10.wav,male,925605,девятьсот двадцать пять тысяч шестьсот пять
train/4449bd471d.wav,male,801135,восемьсот одна тысяча сто тридцать пять
train/ac343f2f09.wav,male,588063,пятьсот восемьдесят восемь тысяч шестьдесят три
train/2f2845230c.wav,female,466039,четыреста шестьдесят шесть тысяч тридцать девять
train/05e823e1a2.wav,male,113988,сто тринадцать тысяч девятьсот восемьдесят восемь
train/3d0afe73cc.wav,male,593389,пятьсот девяносто три тысячи триста восемьдесят девять
train/33da41d65a.wav,female,170177,сто семьдесят тысяч сто семьдесят семь
train/305c43c5bc.wav,female,586964,пятьсот восемьдесят шесть тысяч девятьсот шестьдесят четыре
train/acbebd189f.wav,male,985895,девятьсот восемьдесят пять тысяч восемьсот девяносто пять
train/d3c4895fe7.wav,female,89568,восемьдесят девять тысяч пятьсот шестьдесят восемь
train/bd646e98fe.wav,female,58500,пятьдесят восемь тысяч пятьсот
train/3491fc7ead.wav,male,434708,четыреста тридцать четыре тысячи семьсот восемь
train/063090cc2e.wav,female,756849,семьсот пятьдесят шесть тысяч восемьсот сорок девять
train/4624bf9525.wav,male,660825,шестьсот шестьдесят тысяч восемьсот двадцать пять
train/911350f909.wav,female,551643,пятьсот пятьдесят одна тысяча шестьсот сорок три
train/e7889ad8c9.wav,female,566682,пятьсот шестьдесят шесть тысяч шестьсот восемьдесят два
train/69e783bd4b.wav,male,103998,сто три тысячи девятьсот девяносто восемь
train/fc677d35e3.wav,female,299941,двести девяносто девять тысяч девятьсот сорок один
train/4b23a953dd.wav,male,229395,двести двадцать девять тысяч триста девяносто пять
train/4e0767e5f6.wav,male,5298,пять тысяч двести девяносто восемь
train/98d5445a8d.wav,female,342923,триста сорок две тысячи девятьсот двадцать три
train/d48043eb43.wav,female,72612,семьдесят две тысячи шестьсот двенадцать
train/6769268432.wav,female,260284,двести шестьдесят тысяч двести восемьдесят четыре
train/4e86b0d3c8.wav,female,958356,девятьсот пятьдесят восемь тысяч триста пятьдесят шесть
train/9caafcd375.wav,male,19818,девятнадцать тысяч восемьсот восемнадцать
train/ead6e5d62d.wav,female,833960,восемьсот тридцать три тысячи девятьсот шестьдесят
train/e8d75a094d.wav,female,652273,шестьсот пятьдесят две тысячи двести семьдесят три
train/3d45e2903a.wav,male,551480,пятьсот пятьдесят одна тысяча четыреста восемьдесят
train/179e31cb4c.wav,male,102328,сто две тысячи триста двадцать восемь
train/7bbe5803e0.wav,female,703564,семьсот три тысячи пятьсот шестьдесят четыре
train/8d59632d62.wav,female,613008,шестьсот тринадцать тысяч восемь
train/363d3af4c1.wav,female,182264,сто восемьдесят две тысячи двести шестьдесят четыре
train/c5351c389b.wav,female,772946,семьсот семьдесят две тысячи девятьсот сорок шесть
train/fab9584cf7.wav,female,734751,семьсот тридцать четыре тысячи семьсот пятьдесят один
train/cd8b737570.wav,female,34927,тридцать четыре тысячи девятьсот двадцать семь
train/15ab3e6c65.wav,female,77930,семьдесят семь тысяч девятьсот тридцать
train/d12c1905cb.wav,male,34399,тридцать четыре тысячи триста девяносто девять
train/3b7a89361a.wav,male,98332,девяносто восемь тысяч триста тридцать два
train/4d2bcb0b15.wav,male,567152,пятьсот шестьдесят семь тысяч сто пятьдесят два
train/07a57404c9.wav,male,474312,четыреста семьдесят четыре тысячи триста двенадцать
train/e4801976b9.wav,female,611862,шестьсот одиннадцать тысяч восемьсот шестьдесят два
train/551d90e75c.wav,male,591853,пятьсот девяносто одна тысяча восемьсот пятьдесят три
train/f19d7a2799.wav,male,151774,сто пятьдесят одна тысяча семьсот семьдесят четыре
train/dd681a4994.wav,female,105911,сто пять тысяч девятьсот одиннадцать
train/751270a48c.wav,female,342671,триста сорок две тысячи шестьсот семьдесят один
train/8c94d29c07.wav,male,951008,девятьсот пятьдесят одна тысяча восемь
train/227f4209b3.wav,female,851770,восемьсот пятьдесят одна тысяча семьсот семьдесят
train/0cec85daff.wav,female,565210,пятьсот шестьдесят пять тысяч двести десять
train/f7e515dc8c.wav,female,939551,девятьсот тридцать девять тысяч пятьсот пятьдесят один
train/edbf9c7c97.wav,female,771948,семьсот семьдесят одна тысяча девятьсот сорок восемь
train/7f08138fa0.wav,female,472010,четыреста семьдесят две тысячи десять
train/9772a29d53.wav,female,688240,шестьсот восемьдесят восемь тысяч двести сорок
train/cb467dfb0e.wav,female,325507,триста двадцать пять тысяч пятьсот семь
train/11f350dfba.wav,female,303833,триста три тысячи восемьсот тридцать три
